query-id,doc-id,raw-query,html_link,title,relevance
query-0,cooking+recipe1m+e2f4049e0dde8f8462d4e12e83fe9349,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocked-turkey-aka-butterflied-469154,Spatchcocked Turkey (Aka Butterflied),
query-0,cooking+recipe1m+1e205a8682a00efa1baf76536ef65ff7,how to spatchcock a turkey,http://www.kraftrecipes.com/recipes/grilled-spatchcock-turkey-cranberry-barbecue-sauce-120326.aspx,Grilled Spatchcock Turkey with Cranberry-Barbecue Sauce,
query-0,cooking+recipe1m+b28a06daba651ea98a5425ec2dd94ba0,how to spatchcock a turkey,http://www.chowhound.com/recipes/butterflied-roasted-turkey-with-butternut-squash-stuffing-30874,Spatchcocked Roast Turkey Recipe,
query-0,cooking+recipe1m+9c9b0ac601e1951214288bf7be185461,how to spatchcock a turkey,http://www.food.com/recipe/spicy-roast-spatchcocks-341031,Spicy Roast Spatchcocks,
query-0,cooking+recipe1m+4967e8561c0762b1950299349a2bcf90,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocks-with-a-herb-butter-and-sage-and-bacon-sauce-271632,Spatchcocks With a Herb Butter and Sage and Bacon Sauce,
query-0,cooking+recipe1m+f19aa3e9d56a32d1ad307638b3f92dd0,how to spatchcock a turkey,https://cookpad.com/us/recipes/349923-how-to-spatchcock,How To Spatchcock,
query-0,cooking+recipe1m+aa169d78089d89274ec8510bb5a62f3d,how to spatchcock a turkey,http://www.food.com/recipe/braised-spatchcocks-with-spinach-336566,Braised Spatchcocks With Spinach,
query-0,cooking+recipe1m+3e6e20ac5dd03913760c3563a226091c,how to spatchcock a turkey,http://www.food.com/recipe/turkish-grilled-chicken-445728,Turkish Grilled Chicken,
query-0,cooking+recipe1m+c5249af2fc1f2ad713b1489fe1288fea,how to spatchcock a turkey,http://www.food.com/recipe/birds-birds-birds-139688,"Birds, Birds, Birds",
query-0,cooking+recipe1m+9be7aff7fee235dfb0cea0ee2c9a21c0,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocked-deviled-chicken-262076,Spatchcocked Deviled Chicken,
query-1,cooking+recipe1m+d0df4b8878412a7e0315aedac4e1fc24,I want an easy to make dessert for christmas,http://www.food.com/recipe/christmas-dessert-274275,Christmas Dessert,
query-1,cooking+recipe1m+4ffcf31dd15dc64c2c9b4311059d0955,I want an easy to make dessert for christmas,http://www.food.com/recipe/easy-christmas-mince-tarts-270854,Easy Christmas Mince Tarts,
query-1,cooking+recipe1m+13174bfd525d2365bebd46cf14caf58a,I want an easy to make dessert for christmas,http://www.kraftrecipes.com/recipes/christmas-flower-dessert-112318.aspx,Christmas Flower Dessert,
query-1,cooking+recipe1m+fa0b59557571f60d7d121e247748b3fb,I want an easy to make dessert for christmas,http://www.food.com/recipe/christmas-dessert-148718,Christmas Dessert,
query-1,cooking+recipe1m+12b055dfb96e055417cf5a15b78ac142,I want an easy to make dessert for christmas,http://www.food.com/recipe/easy-christmas-candies-147704,Easy Christmas Candies,
query-1,cooking+recipe1m+1bd24cf460be8a5e268f9d560d44837c,I want an easy to make dessert for christmas,http://www.kraftrecipes.com/recipes/christmas-flower-dessert-111431.aspx,Christmas Flower Dessert,
query-1,cooking+recipe1m+f70bb20d66e48cfddb7cffbeca3bd5ad,I want an easy to make dessert for christmas,http://cookeatshare.com/recipes/easy-summer-dessert-9200,Easy Summer Dessert Recipe,
query-1,cooking+recipe1m+480f4d6c779f5cb876280c04a82a993f,I want an easy to make dessert for christmas,http://www.food.com/recipe/christmas-croissant-dessert-259970,Christmas Croissant Dessert,
query-1,cooking+recipe1m+6b1918e167218a5a2ad8cbcbc520fb60,I want an easy to make dessert for christmas,http://www.food.com/recipe/christmas-snow-dessert-323012,Christmas Snow Dessert,
query-1,cooking+recipe1m+8b74dc6f4039a1c884ceb6bfddd6c62f,I want an easy to make dessert for christmas,https://cookpad.com/us/recipes/358419-easy-amaretti-ice-cream-dessert,Easy Amaretti Ice Cream Dessert,
query-2,cooking+recipe1m+62ac720d7810655d2381242a74269d7a,any recommendations for a gluten free appetizer,http://tastykitchen.com/recipes/appetizers-and-snacks/easy-gluten-free-appetizer/,Easy Gluten Free Appetizer,
query-2,cooking+recipe1m+b0b2ec9c04cdbadcf8f86410d2b34b35,any recommendations for a gluten free appetizer,http://www.food.com/recipe/potted-salmon-gluten-free-appetizer-435796,Potted Salmon (Gluten-Free) Appetizer.,
query-2,cooking+recipe1m+c93f898f2aaa8109694fa22ad214e060,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-or-not-apple-crisp-502006,Gluten Free or Not Apple Crisp,
query-2,cooking+recipe1m+d4a6f0e01534731729c7c9ddfdd3af70,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-beskuit-rusks-119260,Gluten Free Beskuit/rusks,
query-2,cooking+recipe1m+3db10c902240f344340f10c0d7cdedcb,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-chicken-nugget-486726,Gluten-Free Chicken Nugget,
query-2,cooking+recipe1m+6e41d17431168b263dd9860e16a81d7b,any recommendations for a gluten free appetizer,http://www.food.com/recipe/lentil-patties-gluten-free-and-can-be-vegan-258296,Lentil Patties (Gluten-Free and Can Be Vegan),
query-2,cooking+recipe1m+418ca3bc76855a9238e08ce152693688,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-mississippi-mud-pie-354777,Gluten Free Mississippi Mud Pie,
query-2,cooking+recipe1m+00ece6a7645f66256d9ff4fba2123f53,any recommendations for a gluten free appetizer,https://cookpad.com/us/recipes/336553-vickys-mulligatawny-vegetable-soup-gluten-dairy-egg-soy-free,"Vickys Mulligatawny Vegetable Soup, Gluten, Dairy, Egg & Soy-Free",
query-2,cooking+recipe1m+03e0be8dddc6246416cbd039cb824c7a,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-chex-party-mix-324211,Gluten Free Chex Party Mix,
query-2,cooking+recipe1m+f94c2fcc40dc8911249ca5c2177a37ce,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-crabby-patties-462051,Gluten Free Crabby Patties,
