,R@20,R@50,nDCG@5,P@5,Judged@10,R@10,Judged@50,P@3,nDCG@3,Judged@20,AP,P@10,nDCG@10
tct-colbertv2+t5,0.6395369137137853,0.7255483469492114,0.7340907386744762,0.8059999999999996,1.0,0.46980046252004515,0.4256000000000003,0.84,0.7439158054933569,0.7929999999999999,0.5605751075174409,0.6759999999999999,0.7102323591384858
tct-colbertv2,0.5818081216533036,0.7255483469492114,0.7066676699577612,0.7759999999999997,1.0,0.4443519848724425,0.4256000000000003,0.8366666666666667,0.7472498196807978,0.7415,0.5220055000344557,0.6330000000000003,0.6687086520168538
ance+t5,0.5720881271002214,0.6349163913303663,0.7284144239660667,0.7979999999999997,1.0,0.4477796423584531,0.3936000000000002,0.8333333333333337,0.7457799175744126,0.7384999999999999,0.5018856056734204,0.6480000000000001,0.6865211638720423
ance,0.4956817263467223,0.6349163913303663,0.6598574332111634,0.7019999999999997,1.0,0.3840213039982563,0.3936000000000002,0.7833333333333333,0.7129198002830769,0.7000000000000002,0.4311413965330946,0.5589999999999997,0.6167601523169581
bm25+rm3+t5,0.6574962751454458,0.7610376593987244,0.7112603450843874,0.7819999999999996,1.0,0.48749513034154496,0.4446,0.8100000000000003,0.7326311130573743,0.7994999999999998,0.5822875478626083,0.7010000000000001,0.7066419973110355
bm25+rm3,0.6012995833318524,0.7610376593987244,0.6070616710315647,0.7019999999999998,1.0,0.4223034771214912,0.4446,0.7433333333333332,0.6291355520835403,0.7655000000000001,0.5173367261192657,0.6169999999999998,0.6058380745988887
bm25+t5,0.6525756696461591,0.7468569158979644,0.6997315847047539,0.7679999999999997,1.0,0.4758288009789164,0.4482,0.79,0.7207980047421516,0.8075,0.5663538886446242,0.6840000000000002,0.6955836534920007
bm25,0.5838273139793493,0.7468569158979644,0.6032221226558971,0.6919999999999998,1.0,0.40374029330969485,0.4482,0.7299999999999995,0.6241291986959064,0.7724999999999999,0.49294891376690053,0.5860000000000002,0.5844050515401907
hybrid-tct-bm25+rm3+t5,0.6639936837967413,0.7559452168792541,0.7323699630783628,0.8099999999999996,0.9980000000000001,0.4742264955724282,0.4412000000000001,0.8333333333333333,0.736569411863243,0.8084999999999998,0.5805115786765844,0.6819999999999999,0.7122470935112125
marqo+t5,0.6476551454493081,0.7314892221565635,0.7232727026887562,0.7959999999999995,0.998,0.4703750591304698,0.44080000000000014,0.8400000000000002,0.7459016530777545,0.787,0.5623698489143255,0.6749999999999998,0.7066992736225772
marqo,0.5259714820106892,0.7314892221565635,0.5912789055540079,0.6679999999999998,0.9990000000000001,0.3876914197556331,0.44080000000000014,0.7133333333333333,0.6174192089801864,0.7395000000000003,0.4527988947729763,0.5549999999999998,0.573950583431419
